# This file is called   force.dat
# Force-Deflection data for a beam and a bar
# Deflection    Col-Force       Beam-Force 
#X				Y				Y1 
0.000              0              0      1  4
0.001            104             51  4	5
0.002            202            101		20	56	
0.003            298            148		79		21
0.0031           290            149		21		12
0.004            289            201		21 	21
0.0041           291            209		34		64
0.005            310            250		12		46	
0.010            311            260		64	21	
0.020            280            240		31		46

